customer_id,orders,total_spent,product_variety,avg_order_value,avg_days_between_orders,persona
12346,1,77183.6,1,77183.6,0.0,
12347,7,4737.58,103,26.030659,52.1429,Occasional Buyer
12348,4,1661.64,22,53.60129,70.75,Occasional Buyer
12349,1,1523.47,73,20.869452,0.0,
12350,1,307.48,17,18.087059,0.0,
12352,8,1444.07,59,16.989059,32.5,Occasional Buyer
12353,1,89.0,4,22.25,0.0,
12354,1,1061.68,58,18.304828,0.0,
12355,1,455.8,13,35.061538,0.0,
12356,3,3027.2,53,51.308475,101.0,Rare Buyer
12357,1,6882.72,131,52.539847,0.0,
12358,2,1023.58,13,53.872632,74.5,Occasional Buyer
12359,4,6933.56,214,27.957903,68.5,Occasional Buyer
12360,3,2428.72,105,18.827287,49.3333,Occasional Buyer
12361,1,192.9,10,19.29,0.0,
12362,10,5259.23,201,19.771541,29.2,Regular Buyer
12363,2,548.88,23,23.864348,66.5,Occasional Buyer
12364,4,1330.42,70,15.652,26.25,Regular Buyer
12365,2,320.14,22,14.551818,0.0,
12367,1,168.9,11,15.354545,0.0,
12370,4,3479.69,143,20.836467,77.25,Occasional Buyer
12371,2,1738.74,63,27.599048,7.5,Regular Buyer
12372,3,1304.04,34,25.077692,75.0,Occasional Buyer
12373,1,337.0,14,24.071429,0.0,
12374,1,688.79,33,20.872424,0.0,
12375,2,398.3,14,23.429412,44.0,Occasional Buyer
12377,2,1542.04,72,20.026494,19.5,Regular Buyer
12378,1,3981.32,219,18.179543,0.0,
12379,2,874.9,39,21.8725,44.5,Occasional Buyer
12380,4,2774.46,77,26.6775,41.0,Occasional Buyer
12381,5,1729.24,70,19.876322,23.0,Regular Buyer
12383,5,1936.54,84,19.56101,33.6,Occasional Buyer
12384,2,476.65,26,17.653704,46.5,Occasional Buyer
12386,2,409.1,10,40.91,14.5,Regular Buyer
12388,6,2790.16,57,27.9016,51.8333,Occasional Buyer
12390,1,547.04,32,17.095,0.0,
12391,1,455.59,92,4.5559,0.0,
12393,4,1643.22,47,25.675313,65.0,Occasional Buyer
12394,2,1327.6,26,49.17037,77.0,Occasional Buyer
12395,12,3170.57,91,20.324167,29.3333,Regular Buyer
12397,2,2465.34,110,19.56619,50.0,Occasional Buyer
12398,1,1490.18,85,17.531529,0.0,
12399,4,1100.13,47,18.646271,35.5,Occasional Buyer
12401,1,83.7,5,16.74,0.0,
12402,1,229.2,11,20.836364,0.0,
12403,1,390.9,5,78.18,0.0,
12405,1,1646.39,54,30.488704,0.0,
12406,2,3402.2,92,32.401905,80.5,Occasional Buyer
12407,5,1836.62,57,23.852208,43.0,Occasional Buyer
12408,5,3078.09,81,29.315143,45.6,Occasional Buyer
12409,3,12103.49,91,111.041193,34.6667,Occasional Buyer
12410,2,596.93,26,22.958846,0.0,
12412,3,1237.04,43,20.279344,31.6667,Occasional Buyer
12413,3,736.78,29,19.388947,90.3333,Rare Buyer
12414,3,489.21,16,27.178333,31.0,Occasional Buyer
12415,21,141978.26,444,198.849104,14.9048,Regular Buyer
12417,9,3662.86,158,19.077396,39.3333,Occasional Buyer
12418,1,683.92,34,20.115294,0.0,
12420,1,675.11,29,23.279655,0.0,
12421,4,863.88,32,19.197333,76.0,Occasional Buyer
12422,3,833.32,39,21.367179,76.3333,Occasional Buyer
12423,8,2099.23,97,16.79384,44.125,Occasional Buyer
12424,2,1827.32,30,60.910667,0.0,
12425,1,805.52,36,22.375556,0.0,
12426,1,578.77,30,19.292333,0.0,
12427,3,862.76,26,27.830968,116.6667,Rare Buyer
12428,9,7137.34,258,24.276667,28.6667,Regular Buyer
12429,4,4213.94,82,43.44268,89.0,Occasional Buyer
12430,1,219.0,11,19.909091,0.0,
12431,15,6730.71,163,28.641319,22.5333,Regular Buyer
12432,5,5149.88,107,47.684074,26.0,Regular Buyer
12433,7,14368.77,219,34.211357,53.2857,Occasional Buyer
12434,2,871.53,46,17.4306,88.0,Occasional Buyer
12435,2,8678.3,31,241.063889,94.0,Rare Buyer
12436,1,456.21,16,28.513125,0.0,
12437,18,4978.45,118,25.017337,18.3333,Regular Buyer
12438,2,2678.15,84,27.328061,63.0,Occasional Buyer
12441,1,168.75,11,15.340909,0.0,
12442,1,169.98,12,14.165,0.0,
12444,5,4471.86,138,25.408295,30.0,Regular Buyer
12445,1,257.4,4,64.35,0.0,
12446,1,971.82,57,17.049474,0.0,
12447,1,482.49,26,18.557308,0.0,
12448,1,506.81,22,23.036818,0.0,
12449,4,4229.51,118,22.144031,41.25,Occasional Buyer
12450,2,196.2,7,24.525,8.5,Regular Buyer
12451,5,9761.18,265,27.573955,62.8,Occasional Buyer
12452,2,413.33,21,18.787727,0.0,
12453,1,694.69,43,16.155581,0.0,
12454,1,5673.3,15,378.22,0.0,
12455,6,2474.66,85,27.496222,37.1667,Occasional Buyer
12456,3,2991.72,105,23.93376,70.0,Occasional Buyer
12457,7,2224.57,53,35.880161,24.7143,Regular Buyer
12458,2,850.1,35,22.371053,106.5,Rare Buyer
12461,2,752.68,35,21.505143,30.0,Regular Buyer
12462,2,1165.53,51,18.798871,142.5,Rare Buyer
12463,4,1441.62,65,17.368916,47.0,Occasional Buyer
12464,8,1251.05,6,43.139655,37.375,Occasional Buyer
12465,2,743.25,46,15.81383,76.0,Occasional Buyer
12468,2,773.44,36,20.353684,64.5,Occasional Buyer
12471,30,19587.92,150,42.582435,12.0667,Regular Buyer
12472,7,6533.25,219,19.272124,48.1429,Occasional Buyer
12473,5,3269.56,140,19.461667,32.4,Occasional Buyer
12474,18,7486.77,253,17.657476,17.3333,Regular Buyer
12475,1,715.78,36,19.882778,0.0,
12476,11,7015.15,177,30.10794,31.4545,Occasional Buyer
12477,6,13804.36,191,46.014533,46.5,Occasional Buyer
12478,1,582.49,36,16.180278,0.0,
12479,1,523.76,31,16.895484,0.0,
12480,4,3289.97,129,21.363442,77.0,Occasional Buyer
12481,10,5851.38,150,26.964885,34.3,Occasional Buyer
12483,8,2391.5,46,31.886667,40.25,Occasional Buyer
12484,6,4407.07,256,12.737197,50.6667,Occasional Buyer
12488,3,1277.58,46,23.228727,22.0,Regular Buyer
12489,1,330.73,15,22.048667,0.0,
12490,10,5552.13,131,22.661755,32.4,Occasional Buyer
12491,1,457.0,25,17.576923,0.0,
12492,2,261.91,19,13.0955,21.0,Regular Buyer
12493,2,492.26,20,22.375455,16.0,Regular Buyer
12494,7,1250.52,63,16.240519,50.0,Occasional Buyer
12497,1,1023.5,14,73.107143,0.0,
12498,3,392.6,21,17.069565,12.0,Regular Buyer
12500,11,4769.9,34,78.195082,28.1818,Regular Buyer
12501,1,2294.23,149,15.397517,0.0,
