customer_id,name,total_spent,segment
12346,Unknown,77183.6,High Value
12347,Unknown,4310.0,High Value
12348,Unknown,1797.24,High Value
12349,Unknown,1757.55,High Value
12350,Unknown,334.4,Low Value
12352,Unknown,2506.04,High Value
12353,Unknown,89.0,Low Value
12354,Unknown,1079.4,Mid Value
12355,Unknown,459.4,Mid Value
12356,Unknown,2811.43,High Value
12357,Unknown,6207.67,High Value
12358,Unknown,1168.06,Mid Value
12359,Unknown,6372.58,High Value
12360,Unknown,2662.06,High Value
12361,Unknown,189.9,Low Value
12362,Unknown,5226.23,High Value
12363,Unknown,552.0,Mid Value
12364,Unknown,1313.1,High Value
12365,Unknown,641.38,Mid Value
12367,Unknown,168.9,Low Value
12370,Unknown,3545.69,High Value
12371,Unknown,1887.96,High Value
12372,Unknown,1298.04,High Value
12373,Unknown,364.6,Low Value
12374,Unknown,742.93,Mid Value
12375,Unknown,457.5,Mid Value
12377,Unknown,1628.12,High Value
12378,Unknown,4008.62,High Value
12379,Unknown,852.24,Mid Value
12380,Unknown,2724.81,High Value
12381,Unknown,1845.31,High Value
12383,Unknown,1850.56,High Value
12384,Unknown,585.27,Mid Value
12386,Unknown,401.9,Mid Value
12388,Unknown,2780.66,High Value
12390,Unknown,549.84,Mid Value
12391,Unknown,460.89,Mid Value
12393,Unknown,1582.6,High Value
12394,Unknown,1272.48,High Value
12395,Unknown,3018.63,High Value
12397,Unknown,2409.9,High Value
12398,Unknown,1635.66,High Value
12399,Unknown,1108.65,Mid Value
12401,Unknown,84.3,Low Value
12402,Unknown,225.6,Low Value
12403,Unknown,427.7,Mid Value
12405,Unknown,1710.39,High Value
12406,Unknown,3415.3,High Value
12407,Unknown,1708.12,High Value
12408,Unknown,2888.55,High Value
12409,Unknown,11072.67,High Value
12410,Unknown,693.33,Mid Value
12412,Unknown,1226.88,High Value
12413,Unknown,758.1,Mid Value
12414,Unknown,562.41,Mid Value
12415,Unknown,124914.53,High Value
12417,Unknown,3649.1,High Value
12418,Unknown,668.58,Mid Value
12420,Unknown,600.39,Mid Value
12421,Unknown,807.04,Mid Value
12422,Unknown,803.56,Mid Value
12423,Unknown,1859.31,High Value
12424,Unknown,1760.96,High Value
12425,Unknown,777.2,Mid Value
12426,Unknown,582.73,Mid Value
12427,Unknown,825.8,Mid Value
12428,Unknown,7956.46,High Value
12429,Unknown,3750.4,High Value
12430,Unknown,256.4,Low Value
12431,Unknown,6487.45,High Value
12432,Unknown,5059.32,High Value
12433,Unknown,13375.87,High Value
12434,Unknown,806.14,Mid Value
12435,Unknown,7829.89,High Value
12436,Unknown,509.01,Mid Value
12437,Unknown,4951.41,High Value
12438,Unknown,2906.85,High Value
12441,Unknown,173.55,Low Value
12442,Unknown,172.06,Low Value
12444,Unknown,5005.46,High Value
12445,Unknown,133.4,Low Value
12446,Unknown,1002.31,Mid Value
12447,Unknown,476.49,Mid Value
12448,Unknown,449.45,Mid Value
12449,Unknown,4067.29,High Value
12450,Unknown,197.88,Low Value
12451,Unknown,9035.52,High Value
12452,Unknown,430.57,Mid Value
12453,Unknown,707.09,Mid Value
12454,Unknown,3528.34,High Value
12455,Unknown,2466.86,High Value
12456,Unknown,3181.04,High Value
12457,Unknown,2363.23,High Value
12458,Unknown,947.4,Mid Value
12461,Unknown,826.88,Mid Value
12462,Unknown,1189.59,Mid Value
12463,Unknown,1344.78,High Value
12464,Unknown,1212.05,High Value
12465,Unknown,742.19,Mid Value
12468,Unknown,729.54,Mid Value
12471,Unknown,19824.05,High Value
12472,Unknown,6572.11,High Value
12473,Unknown,3938.55,High Value
12474,Unknown,7375.79,High Value
12475,Unknown,723.38,Mid Value
12476,Unknown,6816.42,High Value
12477,Unknown,13219.74,High Value
12478,Unknown,680.99,Mid Value
12479,Unknown,527.2,Mid Value
12480,Unknown,3281.63,High Value
12481,Unknown,5596.32,High Value
12483,Unknown,2484.98,High Value
12484,Unknown,4541.72,High Value
12488,Unknown,1298.66,High Value
12489,Unknown,334.93,Low Value
12490,Unknown,5417.93,High Value
12491,Unknown,460.4,Mid Value
12492,Unknown,263.21,Low Value
12493,Unknown,433.74,Mid Value
12494,Unknown,1246.1,High Value
12497,Unknown,1043.1,Mid Value
12498,Unknown,403.7,Mid Value
12500,Unknown,4257.82,High Value
12501,Unknown,2169.39,High Value
12502,Unknown,3723.87,High Value
12504,Unknown,482.05,Mid Value
12506,Unknown,73.5,Low Value
12507,Unknown,1304.81,High Value
12508,Unknown,398.27,Mid Value
12509,Unknown,176.5,Low Value
12510,Unknown,982.57,Mid Value
12512,Unknown,138.03,Low Value
12513,Unknown,612.29,Mid Value
12514,Unknown,1017.68,Mid Value
12515,Unknown,383.7,Low Value
12516,Unknown,1312.06,High Value
12517,Unknown,2502.84,High Value
12518,Unknown,2056.89,High Value
12519,Unknown,340.84,Low Value
12520,Unknown,2634.26,High Value
12521,Unknown,599.68,Mid Value
12522,Unknown,192.72,Low Value
12523,Unknown,1789.77,High Value
12524,Unknown,4485.72,High Value
12526,Unknown,1316.66,High Value
12527,Unknown,348.71,Low Value
12528,Unknown,1933.48,High Value
12530,Unknown,1662.28,High Value
12531,Unknown,125.22,Low Value
12532,Unknown,349.83,Low Value
12534,Unknown,1089.18,Mid Value
12535,Unknown,716.35,Mid Value
12536,Unknown,12601.83,High Value
12538,Unknown,363.95,Low Value
12539,Unknown,5568.35,High Value
12540,Unknown,13400.24,High Value
12541,Unknown,981.18,Mid Value
12544,Unknown,372.7,Low Value
12545,Unknown,1000.39,Mid Value
12546,Unknown,1161.5,Mid Value
12547,Unknown,207.8,Low Value
12548,Unknown,95.2,Low Value
12550,Unknown,964.83,Mid Value
12551,Unknown,168.0,Low Value
12552,Unknown,437.82,Mid Value
12553,Unknown,3692.28,High Value
12556,Unknown,603.71,Mid Value
12557,Unknown,11990.96,High Value
12558,Unknown,269.96,Low Value
12559,Unknown,561.71,Mid Value
12560,Unknown,2134.01,High Value
12561,Unknown,238.85,Low Value
12562,Unknown,3781.74,High Value
12564,Unknown,456.9,Mid Value
12565,Unknown,145.92,Low Value
12566,Unknown,351.65,Low Value
12567,Unknown,9401.28,High Value
12569,Unknown,4124.69,High Value
12571,Unknown,519.61,Mid Value
12572,Unknown,1020.42,Mid Value
12573,Unknown,160.54,Low Value
12574,Unknown,218.45,Low Value
12576,Unknown,1315.83,High Value
12577,Unknown,657.8,Mid Value
12578,Unknown,2794.51,High Value
12579,Unknown,440.42,Mid Value
12580,Unknown,415.7,Mid Value
12581,Unknown,197.71,Low Value
12582,Unknown,511.36,Mid Value
12583,Unknown,7281.38,High Value
12584,Unknown,2338.15,High Value
12585,Unknown,2040.1,High Value
12586,Unknown,196.94,Low Value
12587,Unknown,144.0,Low Value
12588,Unknown,214.9,Low Value
12589,Unknown,646.68,Mid Value
12590,Unknown,9864.26,High Value
12591,Unknown,452.85,Mid Value
12592,Unknown,437.6,Mid Value
12593,Unknown,418.1,Mid Value
12594,Unknown,3338.22,High Value
12596,Unknown,618.27,Mid Value
12597,Unknown,3811.22,High Value
12598,Unknown,3023.08,High Value
12599,Unknown,1032.58,Mid Value
12600,Unknown,2599.04,High Value
12601,Unknown,577.06,Mid Value
12602,Unknown,153.12,Low Value
12603,Unknown,739.2,Mid Value
12604,Unknown,254.18,Low Value
12607,Unknown,1579.51,High Value
12609,Unknown,1126.85,Mid Value
12610,Unknown,2099.54,High Value
12611,Unknown,1193.32,Mid Value
12612,Unknown,704.04,Mid Value
12613,Unknown,3344.38,High Value
12614,Unknown,315.6,Low Value
12615,Unknown,2291.19,High Value
12616,Unknown,713.3,Mid Value
12617,Unknown,355.53,Low Value
12618,Unknown,177.31,Low Value
12619,Unknown,3641.24,High Value
12620,Unknown,1339.41,High Value
12621,Unknown,13689.67,High Value
12622,Unknown,180.1,Low Value
12623,Unknown,305.1,Low Value
12624,Unknown,641.13,Mid Value
12625,Unknown,2683.82,High Value
12626,Unknown,6620.48,High Value
12627,Unknown,4478.53,High Value
12628,Unknown,786.46,Mid Value
12630,Unknown,1270.88,High Value
12631,Unknown,640.5,Mid Value
12633,Unknown,2163.98,High Value
12635,Unknown,1689.18,High Value
12637,Unknown,6021.9,High Value
12638,Unknown,671.69,Mid Value
12639,Unknown,486.1,Mid Value
12640,Unknown,1174.58,Mid Value
12641,Unknown,185.9,Low Value
12642,Unknown,1013.26,Mid Value
12643,Unknown,3344.64,High Value
12644,Unknown,477.91,Mid Value
12645,Unknown,1775.18,High Value
12646,Unknown,1346.97,High Value
12647,Unknown,3722.82,High Value
12648,Unknown,318.05,Low Value
12649,Unknown,623.51,Mid Value
12650,Unknown,314.44,Low Value
12651,Unknown,114.0,Low Value
12652,Unknown,919.98,Mid Value
12653,Unknown,2209.85,High Value
12654,Unknown,601.98,Mid Value
12656,Unknown,4051.17,High Value
12657,Unknown,1643.18,High Value
12658,Unknown,686.05,Mid Value
12659,Unknown,91.68,Low Value
12660,Unknown,245.1,Low Value
12662,Unknown,3849.78,High Value
12664,Unknown,4881.88,High Value
12665,Unknown,63.0,Low Value
12667,Unknown,620.13,Mid Value
12668,Unknown,3807.15,High Value
12669,Unknown,2744.03,High Value
12670,Unknown,2996.05,High Value
12672,Unknown,225.9,Low Value
12673,Unknown,610.52,Mid Value
12674,Unknown,1970.6,High Value
12676,Unknown,1331.39,High Value
12678,Unknown,17628.46,High Value
12679,Unknown,1113.02,Mid Value
12680,Unknown,862.81,Mid Value
12681,Unknown,13787.54,High Value
12682,Unknown,12288.22,High Value
12683,Unknown,8476.57,High Value
12684,Unknown,2283.63,High Value
12685,Unknown,2863.08,High Value
12686,Unknown,89.14,Low Value
12688,Unknown,4873.81,High Value
12689,Unknown,1247.61,High Value
12690,Unknown,389.01,Mid Value
12691,Unknown,1035.8,Mid Value
12693,Unknown,855.91,Mid Value
12694,Unknown,869.67,Mid Value
12695,Unknown,582.1,Mid Value
12697,Unknown,957.59,Mid Value
12700,Unknown,4939.99,High Value
12701,Unknown,797.71,Mid Value
12702,Unknown,219.0,Low Value
12703,Unknown,283.55,Low Value
12704,Unknown,2340.84,High Value
12705,Unknown,6868.29,High Value
12707,Unknown,603.42,Mid Value
12708,Unknown,2712.91,High Value
12709,Unknown,9736.52,High Value
12710,Unknown,1149.02,Mid Value
12712,Unknown,4396.13,High Value
12713,Unknown,848.55,Mid Value
12714,Unknown,4708.86,High Value
12715,Unknown,353.86,Low Value
12716,Unknown,1053.49,Mid Value
12717,Unknown,1030.98,Mid Value
12718,Unknown,238.25,Low Value
12719,Unknown,644.95,Mid Value
12720,Unknown,5781.73,High Value
12721,Unknown,2656.13,High Value
12722,Unknown,997.63,Mid Value
12723,Unknown,725.07,Mid Value
12724,Unknown,1031.41,Mid Value
12725,Unknown,427.8,Mid Value
12726,Unknown,2609.1,High Value
12727,Unknown,3980.7,High Value
12728,Unknown,836.33,Mid Value
12729,Unknown,453.01,Mid Value
12731,Unknown,18895.91,High Value
12732,Unknown,236.26,Low Value
12733,Unknown,383.95,Low Value
12734,Unknown,110.4,Low Value
12735,Unknown,779.57,Mid Value
12736,Unknown,234.0,Low Value
12738,Unknown,155.35,Low Value
12739,Unknown,1013.04,Mid Value
12740,Unknown,427.6,Mid Value
12743,Unknown,546.43,Mid Value
12744,Unknown,21279.29,High Value
12747,Unknown,4196.01,High Value
12748,Unknown,33719.73,High Value
12749,Unknown,4090.88,High Value
12750,Unknown,275.88,Low Value
12752,Unknown,4366.78,High Value
12753,Unknown,21429.39,High Value
12754,Unknown,3010.74,High Value
12755,Unknown,3811.95,High Value
12756,Unknown,112.08,Low Value
12757,Unknown,7857.1,High Value
12758,Unknown,2791.59,High Value
12759,Unknown,1531.44,High Value
12762,Unknown,1898.52,High Value
12763,Unknown,494.08,Mid Value
12764,Unknown,1693.88,High Value
12766,Unknown,6989.63,High Value
12769,Unknown,1143.6,Mid Value
12770,Unknown,1351.45,High Value
12772,Unknown,892.47,Mid Value
12775,Unknown,1386.04,High Value
12778,Unknown,822.23,Mid Value
12779,Unknown,3981.36,High Value
12781,Unknown,826.74,Mid Value
12782,Unknown,2330.92,High Value
12783,Unknown,2225.91,High Value
12784,Unknown,574.42,Mid Value
12785,Unknown,311.95,Low Value
12787,Unknown,463.66,Mid Value
12789,Unknown,91.85,Low Value
12790,Unknown,324.92,Low Value
12791,Unknown,192.6,Low Value
12792,Unknown,400.54,Mid Value
12793,Unknown,545.48,Mid Value
12794,Unknown,860.41,Mid Value
12795,Unknown,430.48,Mid Value
12797,Unknown,254.03,Low Value
12798,Unknown,6977.04,High Value
12802,Unknown,427.58,Mid Value
12808,Unknown,483.65,Mid Value
12809,Unknown,489.31,Mid Value
12811,Unknown,514.85,Mid Value
12812,Unknown,229.64,Low Value
12814,Unknown,125.92,Low Value
12815,Unknown,1063.46,Mid Value
12816,Unknown,572.2,Mid Value
12817,Unknown,166.04,Low Value
12818,Unknown,1542.08,High Value
12820,Unknown,942.34,Mid Value
12821,Unknown,92.72,Low Value
12822,Unknown,948.88,Mid Value
12823,Unknown,1759.5,High Value
12824,Unknown,397.12,Mid Value
12826,Unknown,1474.72,High Value
12827,Unknown,430.15,Mid Value
12828,Unknown,1018.71,Mid Value
12829,Unknown,293.0,Low Value
12830,Unknown,6814.64,High Value
12831,Unknown,215.05,Low Value
12832,Unknown,383.03,Low Value
12833,Unknown,417.38,Mid Value
12834,Unknown,312.38,Low Value
12836,Unknown,2612.86,High Value
12837,Unknown,134.1,Low Value
12838,Unknown,683.13,Mid Value
12839,Unknown,5591.42,High Value
12840,Unknown,2726.77,High Value
12841,Unknown,4022.35,High Value
12842,Unknown,1118.99,Mid Value
12843,Unknown,1702.26,High Value
12844,Unknown,325.96,Low Value
12845,Unknown,354.09,Low Value
12847,Unknown,871.54,Mid Value
12849,Unknown,1050.89,Mid Value
12851,Unknown,135.18,Low Value
12852,Unknown,311.55,Low Value
12853,Unknown,1957.1,High Value
12854,Unknown,1324.5,High Value
12855,Unknown,38.1,Low Value
12856,Unknown,2179.93,High Value
12857,Unknown,1106.4,Mid Value
12863,Unknown,521.2,Mid Value
12864,Unknown,147.12,Low Value
12865,Unknown,1568.23,High Value
12866,Unknown,559.12,Mid Value
12867,Unknown,4036.82,High Value
12868,Unknown,1607.06,High Value
12871,Unknown,380.64,Low Value
12872,Unknown,599.97,Mid Value
12873,Unknown,374.0,Low Value
12875,Unknown,343.23,Low Value
12876,Unknown,2218.02,High Value
12877,Unknown,1535.77,High Value
12878,Unknown,854.99,Mid Value
12879,Unknown,573.22,Mid Value
12881,Unknown,298.0,Low Value
12882,Unknown,1463.04,High Value
12883,Unknown,703.47,Mid Value
12884,Unknown,309.05,Low Value
12885,Unknown,1175.22,Mid Value
12886,Unknown,1378.4,High Value
12888,Unknown,354.12,Low Value
12890,Unknown,380.47,Low Value
12891,Unknown,331.0,Low Value
12893,Unknown,188.14,Low Value
12895,Unknown,372.8,Low Value
12897,Unknown,216.5,Low Value
12901,Unknown,17654.54,High Value
12902,Unknown,138.68,Low Value
12904,Unknown,509.58,Mid Value
12906,Unknown,2919.81,High Value
12908,Unknown,750.0,Mid Value
12909,Unknown,2178.67,High Value
12910,Unknown,3075.04,High Value
12912,Unknown,1662.3,High Value
12913,Unknown,2483.63,High Value
12915,Unknown,363.65,Low Value
12916,Unknown,3006.15,High Value
12917,Unknown,594.0,Mid Value
12919,Unknown,1335.19,High Value
12920,Unknown,164.23,Low Value
12921,Unknown,16587.09,High Value
12922,Unknown,405.38,Mid Value
12923,Unknown,176.97,Low Value
12924,Unknown,933.7,Mid Value
12925,Unknown,694.05,Mid Value
12928,Unknown,2062.7,High Value
12929,Unknown,117.85,Low Value
12930,Unknown,415.8,Mid Value
12931,Unknown,42055.96,High Value
12933,Unknown,607.53,Mid Value
12935,Unknown,2160.7,High Value
12936,Unknown,1063.9,Mid Value
12937,Unknown,1504.27,High Value
12938,Unknown,114.14,Low Value
12939,Unknown,11581.8,High Value
12940,Unknown,913.54,Mid Value
12942,Unknown,683.9,Mid Value
12944,Unknown,604.51,Mid Value
12945,Unknown,462.95,Mid Value
12947,Unknown,1603.99,High Value
12948,Unknown,2064.95,High Value
12949,Unknown,4167.22,High Value
12950,Unknown,1843.0,High Value
12951,Unknown,1064.07,Mid Value
12952,Unknown,1387.79,High Value
12953,Unknown,329.85,Low Value
12955,Unknown,4757.16,High Value
12956,Unknown,108.07,Low Value
12957,Unknown,4017.54,High Value
12962,Unknown,266.39,Low Value
12963,Unknown,1856.63,High Value
12965,Unknown,771.91,Mid Value
12966,Unknown,160.18,Low Value
12967,Unknown,1660.9,High Value
12968,Unknown,135.95,Low Value
12970,Unknown,452.24,Mid Value
12971,Unknown,11189.91,High Value
12974,Unknown,144.8,Low Value
12976,Unknown,738.6,Mid Value
12977,Unknown,39.24,Low Value
12980,Unknown,7374.9,High Value
12981,Unknown,372.22,Low Value
12982,Unknown,390.54,Mid Value
12984,Unknown,97.5,Low Value
12985,Unknown,1239.38,High Value
12987,Unknown,558.7,Mid Value
12988,Unknown,535.32,Mid Value
12989,Unknown,6924.11,High Value
12990,Unknown,409.5,Mid Value
12991,Unknown,503.76,Mid Value
12993,Unknown,414.76,Mid Value
12994,Unknown,974.42,Mid Value
12995,Unknown,211.32,Low Value
12997,Unknown,1226.89,High Value
12999,Unknown,455.88,Mid Value
13000,Unknown,534.85,Mid Value
13001,Unknown,9818.82,High Value
13002,Unknown,120.95,Low Value
13003,Unknown,149.05,Low Value
13004,Unknown,5655.91,High Value
13005,Unknown,513.7,Mid Value
13006,Unknown,81.57,Low Value
13008,Unknown,229.47,Low Value
13011,Unknown,50.55,Low Value
13012,Unknown,1661.84,High Value
13013,Unknown,4810.94,High Value
13014,Unknown,3466.28,High Value
13015,Unknown,3346.28,High Value
13016,Unknown,789.89,Mid Value
13017,Unknown,204.0,Low Value
13018,Unknown,7277.7,High Value
13021,Unknown,2616.38,High Value
13023,Unknown,689.9,Mid Value
13026,Unknown,975.36,Mid Value
13027,Unknown,6912.0,High Value
13028,Unknown,661.32,Mid Value
13029,Unknown,1247.5,High Value
13030,Unknown,799.48,Mid Value
13032,Unknown,1010.18,Mid Value
13033,Unknown,190.55,Low Value
13034,Unknown,642.77,Mid Value
13035,Unknown,921.88,Mid Value
13037,Unknown,881.07,Mid Value
13038,Unknown,908.46,Mid Value
13040,Unknown,676.99,Mid Value
13043,Unknown,516.42,Mid Value
13044,Unknown,560.47,Mid Value
13045,Unknown,305.28,Low Value
13046,Unknown,629.31,Mid Value
13047,Unknown,3237.54,High Value
13048,Unknown,1835.91,High Value
13049,Unknown,656.68,Mid Value
13050,Unknown,5836.86,High Value
13052,Unknown,348.15,Low Value
13055,Unknown,1214.41,High Value
13058,Unknown,271.4,Low Value
13059,Unknown,183.4,Low Value
13060,Unknown,307.53,Low Value
13061,Unknown,248.61,Low Value
13062,Unknown,346.98,Low Value
13064,Unknown,1119.49,Mid Value
13065,Unknown,205.86,Low Value
13066,Unknown,470.8,Mid Value
13067,Unknown,115.46,Low Value
13068,Unknown,344.0,Low Value
13069,Unknown,4436.12,High Value
