StockCode,Description,Revenue,Revenue_Share,Cumulative_Revenue
23843,"PAPER CRAFT , LITTLE BIRDIE",168469.6,0.01890493643820078,0.01890493643820078
22423,REGENCY CAKESTAND 3 TIER,142592.94999999998,0.016001169684533835,0.03490610612273461
85123A,WHITE HANGING HEART T-LIGHT HOLDER,100448.15000000001,0.011271860864422173,0.04617796698715679
85099B,JUMBO BAG RED RETROSPOT,85220.78,0.009563110668713477,0.05574107765587026
23166,MEDIUM CERAMIC TOP STORAGE JAR,81416.73000000001,0.009136236482167433,0.0648773141380377
POST,POSTAGE,77803.96,0.008730826917380441,0.07360814105541814
47566,PARTY BUNTING,68844.33,0.007725415640450971,0.08133355669586911
84879,ASSORTED COLOUR BIRD ORNAMENT,56580.34,0.00634920324706528,0.0876827599429344
M,Manual,53779.93,0.006034953239640191,0.09371771318257459
23084,RABBIT NIGHT LIGHT,51346.2,0.005761850490196123,0.09947956367277071
79321,CHILLI LIGHTS,46286.51,0.0051940737646207075,0.10467363743739141
22086,PAPER CHAIN KIT 50'S CHRISTMAS ,42660.83,0.004787215494966979,0.1094608529323584
22502,PICNIC BASKET WICKER 60 PIECES,39619.5,0.004445930477743733,0.11390678341010213
21137,BLACK RECORD COVER FRAME,39064.55,0.004383656367302565,0.1182904397774047
22386,JUMBO BAG PINK POLKADOT,37289.590000000004,0.004184477963719077,0.12247491774112378
23284,DOORMAT KEEP CALM AND COME IN,35913.85,0.00403009831744764,0.12650501605857142
23298,SPOTTY BUNTING,35539.25,0.0039880623110123544,0.13049307836958376
82484,WOOD BLACK BOARD ANT WHITE FINISH,34478.01,0.0038689745067694756,0.13436205287635325
22720,SET OF 3 CAKE TINS PANTRY DESIGN ,33347.8,0.003742147184737377,0.13810420006109062
22960,JAM MAKING SET WITH JARS,32662.97,0.003665298497371982,0.1417694985584626
85099F,JUMBO BAG STRAWBERRY,30644.2,0.003438760780577103,0.14520825933903972
22178,VICTORIAN GLASS HANGING T-LIGHT,28776.51,0.003229176613841601,0.1484374359528813
22470,HEART OF WICKER LARGE,28520.95,0.003200498765991624,0.15163793471887294
22469,HEART OF WICKER SMALL,28228.64,0.0031676969906550023,0.15480563170952794
20725,LUNCH BAG RED RETROSPOT,28048.45,0.003147476841163347,0.15795310855069128
